observation_date,LFWA64TTUSM647S
2001-01-01,180346200
2001-02-01,180507000
2001-03-01,180599100
2001-04-01,180853100
2001-05-01,181010700
2001-06-01,181357000
2001-07-01,181599400
2001-08-01,181862100
2001-09-01,181983800
2001-10-01,182247700
2001-11-01,182518600
2001-12-01,182719400
2002-01-01,182668900
2002-02-01,182824700
2002-03-01,183083800
2002-04-01,183315900
2002-05-01,183461200
2002-06-01,183671700
2002-07-01,183867600
2002-08-01,184123800
2002-09-01,184241500
2002-10-01,184453300
2002-11-01,184789000
2002-12-01,184909500
2003-01-01,185657300
2003-02-01,185828200
2003-03-01,186123300
2003-04-01,186476700
2003-05-01,186699000
2003-06-01,186893500
2003-07-01,187167800
2003-08-01,187379200
2003-09-01,187554900
2003-10-01,187712500
2003-11-01,187911000
2003-12-01,188024100
2004-01-01,187566400
2004-02-01,187831900
2004-03-01,188107500
2004-04-01,188338100
2004-05-01,188541300
2004-06-01,188689700
2004-07-01,188779800
2004-08-01,189025400
2004-09-01,189278400
2004-10-01,189470000
2004-11-01,189644300
2004-12-01,189848000
2005-01-01,190033800
2005-02-01,190206200
2005-03-01,190426600
2005-04-01,190492900
2005-05-01,190681100
2005-06-01,190895800
2005-07-01,191052300
2005-08-01,191189100
2005-09-01,191473900
2005-10-01,191700200
2005-11-01,191992900
2005-12-01,192186400
2006-01-01,192324700
2006-02-01,192509300
2006-03-01,192613600
2006-04-01,192790100
2006-05-01,192944700
2006-06-01,193181600
2006-07-01,193412800
2006-08-01,193523700
2006-09-01,193585000
2006-10-01,193708300
2006-11-01,193922700
2006-12-01,194094500
2007-01-01,194821100
2007-02-01,195051400
2007-03-01,195152300
2007-04-01,195252400
2007-05-01,195413000
2007-06-01,195663100
2007-07-01,195833000
2007-08-01,195970600
2007-09-01,196067400
2007-10-01,196108600
2007-11-01,196170500
2007-12-01,196412900
2008-01-01,196058400
2008-02-01,196234400
2008-03-01,196374800
2008-04-01,196223900
2008-05-01,196450300
2008-06-01,196513100
2008-07-01,196567200
2008-08-01,196690500
2008-09-01,196837700
2008-10-01,196969400
2008-11-01,197131800
2008-12-01,197420300
2009-01-01,197060600
2009-02-01,197285200
2009-03-01,197531600
2009-04-01,197856000
2009-05-01,197951700
2009-06-01,197604400
2009-07-01,197700800
2009-08-01,198050100
2009-09-01,198372400
2009-10-01,198661700
2009-11-01,198711700
2009-12-01,198771600
2010-01-01,198248200
2010-02-01,198429900
2010-03-01,198650700
2010-04-01,198995200
2010-05-01,199085700
2010-06-01,198929400
2010-07-01,199009900
2010-08-01,199220000
2010-09-01,199526100
2010-10-01,199858800
2010-11-01,199982900
2010-12-01,200025600
2011-01-01,199135700
2011-02-01,199341600
2011-03-01,199550300
2011-04-01,199939400
2011-05-01,200041300
2011-06-01,199986700
2011-07-01,200105800
2011-08-01,200137000
2011-09-01,200257700
2011-10-01,200421000
2011-11-01,200323100
2011-12-01,200312400
2012-01-01,200967300
2012-02-01,201096700
2012-03-01,201253700
2012-04-01,201502400
2012-05-01,201523800
2012-06-01,201450900
2012-07-01,201484900
2012-08-01,201588000
2012-09-01,201607100
2012-10-01,201658700
2012-11-01,201707000
2012-12-01,201847500
2013-01-01,201718600
2013-02-01,201881100
2013-03-01,202025400
2013-04-01,202172400
2013-05-01,202289800
2013-06-01,202277800
2013-07-01,202310800
2013-08-01,202487000
2013-09-01,202630800
2013-10-01,202699500
2013-11-01,202719700
2013-12-01,202736400
2014-01-01,202548300
2014-02-01,202677000
2014-03-01,202706200
2014-04-01,202801300
2014-05-01,202936800
2014-06-01,203038000
2014-07-01,203030500
2014-08-01,203165200
2014-09-01,203211900
2014-10-01,203258200
2014-11-01,203381100
2014-12-01,203423900
2015-01-01,203855400
2015-02-01,203937500
2015-03-01,203972300
2015-04-01,203986300
2015-05-01,204205700
2015-06-01,204408800
2015-07-01,204506300
2015-08-01,204563300
2015-09-01,204606800
2015-10-01,204681200
2015-11-01,204734100
2015-12-01,204762600
2016-01-01,205065800
2016-02-01,205093200
2016-03-01,205200000
2016-04-01,205251000
2016-05-01,205410400
2016-06-01,205544900
2016-07-01,205688600
2016-08-01,205684500
2016-09-01,205738500
2016-10-01,205848200
2016-11-01,205833300
2016-12-01,205946000
2017-01-01,205371300
2017-02-01,205416000
2017-03-01,205323000
2017-04-01,205352400
2017-05-01,205464000
2017-06-01,205635600
2017-07-01,205744000
2017-08-01,205757000
2017-09-01,205688200
2017-10-01,205732600
2017-11-01,205761800
2017-12-01,205871600
2018-01-01,206350800
2018-02-01,206260900
2018-03-01,206225100
2018-04-01,206219400
2018-05-01,206405300
2018-06-01,206573400
2018-07-01,206632700
2018-08-01,206731900
2018-09-01,206679900
2018-10-01,206654700
2018-11-01,206623700
2018-12-01,206793300
2019-01-01,206309000
2019-02-01,206288500
2019-03-01,206123400
2019-04-01,206169300
2019-05-01,206452500
2019-06-01,206523400
2019-07-01,206374300
2019-08-01,206404600
2019-09-01,206318100
2019-10-01,206201400
2019-11-01,206222500
2019-12-01,206291400
2020-01-01,205720500
2020-02-01,205618700
2020-03-01,205289900
2020-04-01,206886900
2020-05-01,206854900
2020-06-01,205547300
2020-07-01,205342600
2020-08-01,205698200
2020-09-01,206104900
2020-10-01,205989000
2020-11-01,206190800
2020-12-01,206191100
2021-01-01,205123900
2021-02-01,205112100
2021-03-01,205109700
2021-04-01,205478800
2021-05-01,205641200
2021-06-01,205401900
2021-07-01,205310900
2021-08-01,205312100
2021-09-01,205484300
2021-10-01,205364900
2021-11-01,205381700
2021-12-01,205374600
2022-01-01,207025000
2022-02-01,206930300
2022-03-01,206795400
2022-04-01,206913700
2022-05-01,207126700
2022-06-01,207384400
2022-07-01,207495300
2022-08-01,207446800
2022-09-01,207518300
2022-10-01,207574000
2022-11-01,207614400
2022-12-01,207636600
2023-01-01,208254800
2023-02-01,208249100
2023-03-01,208145900
2023-04-01,208264600
2023-05-01,208483500
2023-06-01,208656700
2023-07-01,208816400
2023-08-01,208840100
2023-09-01,209000200
2023-10-01,209038200
2023-11-01,209095300
2023-12-01,209200000
